"Variables","Estimate","Std. Error","t value","Pr(>|t|)","significance"
"(Intercept)",-173425.640510784,69751.5997216291,-2.48633208704757,0.0129146627041213,"*"
"Years.of.Experience",10237.1555326095,149.008705910247,68.7017276613065,0,"***"
"Years.at.Company",1287.78159108034,280.15353990586,4.59669933677466,4.31802202190649e-06,"***"
"X9001_I",1923.10999451989,424.592262327924,4.52931003494035,5.95108572391864e-06,"***"
"Company3M",-9679.40480539758,119485.897050562,-0.0810087637480902,0.935435775459824,""
"CompanyAccenture",-5173.21168891971,54408.0418471805,-0.0950817473536368,0.924250827207878,""
"CompanyActivecampaign",-42439.8442330209,71934.5274204789,-0.589978773127226,0.555211397276184,""
"CompanyAdobe",61801.7475752344,54119.8836712561,1.14194161891849,0.253491654063924,""
"CompanyAdp",-6921.67857064431,61180.7907165829,-0.113134833492242,0.909924769323426,""
"CompanyAetna",46628.1062265486,68866.0929476035,0.677083659472673,0.498360532571686,""
"CompanyAffirm",71496.4938464008,60486.1851900403,1.18203013831617,0.237207482607745,""
"CompanyAirbnb",218757.186752416,54140.2281349199,4.04056640114748,5.35170637189317e-05,"***"
"CompanyAkamai Technologies",17936.7142763238,63146.6207558888,0.284048680065767,0.776375949978777,""
"CompanyAkuna Capital",123000.806889066,71915.1974473751,1.71035902361352,0.0872146667497067,"."
"CompanyAlibaba",488448.461326676,81401.6972385357,6.00047023461132,2.00059096310386e-09,"***"
"CompanyAlign Technology",-27575.8521863006,81384.764253648,-0.338833102721244,0.73473894031243,""
"CompanyAllstate",2752.56122535241,75505.3987906086,0.0364551577693909,0.970919789554522,""
"CompanyAma",121983.907338961,71495.4889406302,1.70617627974062,0.0879904429830975,"."
"CompanyAmadeus",-27534.0113605461,71692.3777299706,-0.384057723182972,0.700939656898353,""
"CompanyAmazon",81182.5523863413,53368.4033561041,1.52117259054286,0.128231988332721,""
"CompanyAmd",23529.6441958517,56482.4168876222,0.416583522668062,0.676987434548807,""
"CompanyAmerican Airlines",-39696.2643981601,69081.8241613723,-0.574626754288238,0.565550072967503,""
"CompanyAmerican Express",15845.898611329,56070.9180227497,0.282604586657557,0.777482823283145,""
"CompanyAnalog Devices",44506.2438758394,92320.6034819414,0.482083545787753,0.629751755910634,""
"CompanyAnaplan",99269.0943597226,71587.6247195061,1.38667953782065,0.165554613807379,""
"CompanyAncestry",28070.3942967504,66878.3381414578,0.419723262820575,0.674692036891964,""
"CompanyAndela",-106693.018162841,119185.296293358,-0.895186079835139,0.370698157756625,""
"CompanyAppdynamics",71376.8690295579,65295.7039754024,1.09313269761892,0.274348414313718,""
"CompanyAppfolio",34907.878463692,75723.7885849291,0.460989592782202,0.644810972804465,""
"CompanyApple",108431.37789071,53378.1539260336,2.0313811909075,0.0422292419678541,"*"
"CompanyApplied Materials",-15458.0285546633,65256.5710222963,-0.236880797021678,0.812751639801793,""
"CompanyArgo Ai",181287.648618652,58130.8004641021,3.11861607222498,0.00181954727641659,"**"
"CompanyArista Networks",57814.4272685656,68791.9868637349,0.840423861911215,0.40068059756102,""
"CompanyArm",42939.9548305056,55762.1060578591,0.770056188084984,0.441275455729436,""
"CompanyAruba Networks",9722.34735190256,81375.9207341504,0.119474498895869,0.90490061548472,""
"CompanyAsana",121111.336200329,60042.0962148904,2.01710706046758,0.0436973792458459,"*"
"CompanyAsml",39922.6163911759,60450.7739546121,0.660415306198573,0.508994788833091,""
"CompanyAsurion",-1699.71186320591,81486.0925414471,-0.0208589197272083,0.983358400239408,""
"CompanyAt&T",1218.94819863415,57852.917559437,0.0210697791927576,0.983190197752482,""
"CompanyAthenahealth",25283.6905605149,75617.7582113574,0.334361810751452,0.738109981145155,""
"CompanyAtlassian",70528.4668562842,55036.2182515159,1.28149188110943,0.200035475467769,""
"CompanyAudible",53033.779706316,59009.6937880541,0.898729959467306,0.368807093454584,""
"CompanyAutodesk",18025.1576837735,55634.5243444626,0.323992303271441,0.745947173757181,""
"CompanyAutomattic",-48284.0789501193,75463.8173100632,-0.639830857637791,0.522289734550329,""
"CompanyAvanade",-50958.9597846707,63136.9460844944,-0.807117907104245,0.419607940326455,""
"CompanyAxon",36303.4749813807,65314.5628087603,0.55582512414079,0.578336487417059,""
"CompanyBain",60211.3048601171,60039.8164675459,1.00285624445011,0.315942089242506,""
"CompanyBank Of America",838.701114324073,56158.7788386256,0.0149344613908738,0.988084612415051,""
"CompanyBarclays",-3247.05787775815,66902.7457748789,-0.0485340002140446,0.961291141926941,""
"CompanyBcg",50010.2236987075,58235.3318303895,0.858760860921379,0.390482527564013,""
"CompanyBest Buy",-20441.4154094186,71814.7447456153,-0.28464092550669,0.775922134955226,""
"CompanyBetter.Com",53344.2157796806,71591.2914241638,0.745121574405286,0.456206788517327,""
"CompanyBird",78478.0034648694,69071.5760093576,1.13618376760706,0.255892973032287,""
"CompanyBlackrock",7206.95277817158,58705.0053181398,0.122765558730724,0.902293954083674,""
"CompanyBlackstone",51715.5816695275,75453.5817970904,0.685395980387,0.493101846562106,""
"CompanyBlend",46401.9351016217,75425.8274574665,0.615199549886122,0.538429788626168,""
"CompanyBlink Health",71628.952050036,71588.5432126551,1.0005644595569,0.317049254951441,""
"CompanyBlizzard Entertainment",-9560.05170236453,56846.6020332905,-0.168172790640432,0.866449008566237,""
"CompanyBloomberg",73615.2049874623,53852.7483922885,1.36697210792687,0.171649070052813,""
"CompanyBlue Origin",-28821.4923712011,68869.96658483,-0.418491452812024,0.675592227823754,""
"CompanyBluecore",11965.1396042594,71585.2094955594,0.167145415771977,0.867257284154398,""
"CompanyBny Mellon",13133.2574041387,61644.663553307,0.213047758672277,0.831291834674322,""
"CompanyBoeing",-27676.0504158737,56904.320661978,-0.48636114259714,0.626716345920886,""
"CompanyBooking.Com",58430.2195024739,119195.564994926,0.490204643981185,0.6239943524589,""
"CompanyBooz Allen Hamilton",5777.71020453391,57822.7310978947,0.0999210880363324,0.920407953478217,""
"CompanyBosch",52740.4074720801,75499.7298732717,0.698550942640541,0.484840652174074,""
"CompanyBose",-2173.68506986024,71743.9447622762,-0.0302978192384424,0.975829831346118,""
"CompanyBoston Consulting Group",99234.2071763339,68864.5017786389,1.44100668142952,0.149598101544967,""
"CompanyBox",119683.394628347,55349.220858394,2.16233205765527,0.0306041437874265,"*"
"CompanyBroadcom",92774.7148945512,55041.2463494155,1.68554894824863,0.0918979611345878,"."
"CompanyBytedance",229155.171844587,56013.147214116,4.09109616655921,4.30983306694509e-05,"***"
"CompanyCa Technologies",145786.328706931,92369.2631339515,1.57829914151763,0.114512365531317,""
"CompanyCadence",15611.3652331235,63046.7842107172,0.247615567210321,0.804434350086472,""
"CompanyCadence Design Systems",20206.5838889134,58625.7328180339,0.344670896509419,0.730345343466912,""
"CompanyCambia Health Solutions",11247.4367692524,75617.8301885827,0.148740538325453,0.88175983823464,""
"CompanyCapgemini",-22252.3277314822,65348.5846030509,-0.340517363408102,0.733470445845696,""
"CompanyCapital One",28368.9642299038,53866.4625527587,0.526653559292448,0.598439901598421,""
"CompanyCarta",114384.355783773,61577.1217563254,1.85757879746991,0.0632432113114312,"."
"CompanyCbs Interactive",-49426.9935369505,75438.0987323456,-0.6551993537419,0.51234677804008,""
"CompanyCenturylink",-75915.9032505625,75558.5022089869,-1.00473012342922,0.315038703437344,""
"CompanyCerner",5134.08558819555,56512.9981481468,0.0908478714000756,0.927614360921753,""
"CompanyCgi",12606.2171227624,71740.2330521828,0.175720325770239,0.860515405440705,""
"CompanyChan Zuckerberg Initiative",54994.7163509341,66849.1438683258,0.822668970290156,0.410705855052147,""
"CompanyCharles Schwab",14928.9509097322,57668.3664822728,0.25887591101304,0.795733589745515,""
"CompanyCharter Communications",-11001.0038690392,92439.8128047048,-0.119007206259501,0.90527081517861,""
"CompanyChegg",17763.9394863625,66811.0454550721,0.265883273721679,0.790331786767845,""
"CompanyChevron",-11730.4563655829,69006.6209302737,-0.169990302487579,0.865019444187536,""
"CompanyChewy",36958.3036582978,61216.4951884714,0.603731127443866,0.546029110172595,""
"CompanyCiena",36256.886543964,92421.6250655079,0.39229873439539,0.694841585818795,""
"CompanyCimpress",1771.0401591133,67062.0462484609,0.0264089788216676,0.978931390192913,""
"CompanyCisco",31277.5274589319,53566.6916027711,0.583898809560116,0.559294832405906,""
"CompanyCitadel",268155.777728273,58043.1408973146,4.61993912773731,3.86192140141841e-06,"***"
"CompanyCiti",12150.7673347362,58549.2844843377,0.207530586270215,0.835597574052167,""
"CompanyCitrix Systems Inc",24537.5315225567,59263.7076433107,0.414039763935126,0.67884932673178,""
"CompanyCloudera",90369.65867628,57561.3619842812,1.56997082002608,0.116437366810954,""
"CompanyCloudflare",85415.215847827,59646.4849887659,1.432024298899,0.152152146577619,""
"CompanyCognizant",-73805.3850380833,60054.2270513647,-1.22897901882839,0.219093809788309,""
"CompanyCohesity",108651.678994394,64028.175345568,1.69693542581821,0.0897240825262417,"."
