"Variables","Estimate","Std. Error","t value","Pr(>|t|)","significance","impact"
"(Intercept)",11.873174075788,0.139090386847883,85.3630099452753,0,"***",14336758.0005702
"Years.of.Experience",0.0367068179204755,0.000384930007650792,95.3597204450113,0,"***",3.73888324338731
"Years.at.Company",0.00615621292469632,0.000723439096966455,8.50964918886846,1.86295014716184e-17,"***",0.617520134907967
"CRMCYTOTC",0.000765953604282734,0.000108941142097468,7.03089383437385,2.11672930975344e-12,"***",0.0766247021654509
"HAI_CY",-0.00389724778999787,0.000139710333585651,-27.8952006625094,4.21113770226964e-168,"***",-0.388966337580909
"OCCFARM_CY_sqmi",-0.0316956673685586,0.0041112504757793,-7.7094955793348,1.32062877969532e-14,"***",-3.11986249088188
"RENTER_CY_sqmi",-4.74995026893259e-05,2.20368632083097e-05,-2.15545662013342,0.0311377372216997,"*",-0.00474983746058255
"Company3M",-0.213984989472223,0.30827427779398,-0.694138320600426,0.487603344481181,"",-19.2639496161004
"CompanyAccenture",-0.0203016343807345,0.140598688301062,-0.144394194754241,0.885190621898931,"",-2.00969437266926
"CompanyActivecampaign",-0.0889144090625595,0.185041384571234,-0.480510936883586,0.630869262275787,"",-8.50761205842051
"CompanyAdobe",0.391970119933134,0.13992884785312,2.80121022896277,0.00509590935895798,"**",47.9893491425166
"CompanyAdp",-0.00865151818656897,0.157751277881976,-0.0548427772042629,0.956264255496375,"",-0.861420149598668
"CompanyAetna",0.267567672638866,0.17799080441356,1.50326683179191,0.132785673360104,"",30.6782060234333
"CompanyAffirm",0.423273905583305,0.15634774050192,2.70725949875883,0.00678974872321645,"**",52.6952479502016
"CompanyAirbnb",0.896994850012502,0.139937194715825,6.4099816480819,1.48711795793546e-10,"***",145.222273002864
"CompanyAkamai Technologies",0.147129328770685,0.163032183453297,0.90245573391853,0.366825442634434,"",15.8503781211604
"CompanyAkuna Capital",0.657182490402032,0.184996686107562,3.55240141988235,0.000382589802309739,"***",92.9348710761826
"CompanyAlibaba",1.52611726756674,0.210457936589612,7.25141228835021,4.2712918941525e-13,"***",360.028044327816
"CompanyAlign Technology",0.0362030194289762,0.210437353138472,0.172037040425774,0.863410109396977,"",3.68663291342333
"CompanyAllstate",-0.159828375894959,0.195021136879701,-0.819543863050851,0.412485726922042,"",-14.7709950068047
"CompanyAma",0.574048497605332,0.184845090267006,3.10556529673646,0.00190174998136028,"**",77.5440387175562
"CompanyAmadeus",-0.1670965547999,0.184939103132977,-0.903522034924936,0.366259529210141,"",-15.38820893526
"CompanyAmazon",0.478028223000258,0.137947664903888,3.46528680520482,0.000530751127389133,"***",61.2891003364468
"CompanyAmd",0.148223279191688,0.145930409424098,1.01571207657567,0.309778517957109,"",15.9771820370321
"CompanyAmerican Airlines",-0.305713545837053,0.178092395207701,-1.71660078736385,0.0860672640674508,".",-26.3402409315868
"CompanyAmerican Express",0.0061244238141388,0.144814096289637,0.0422916274800319,0.966266632017675,"",0.61432164427524
"CompanyAnalog Devices",0.237672546417135,0.238598400593191,0.996119612814864,0.319203803849297,"",26.8293817465893
"CompanyAnaplan",0.571177523786405,0.18504869870547,3.08663356069048,0.00202707258980354,"**",77.0350454335021
"CompanyAncestry",0.246852525326543,0.172870364509597,1.42796323723167,0.153317693100352,"",27.9990332702129
"CompanyAndela",-2.05818795323705,0.308157428651852,-6.67901456161985,2.46728181091352e-11,"***",-87.2314868176746
"CompanyAppdynamics",0.427491579063945,0.168812692360394,2.53234264015709,0.0113377296874002,"*",53.3406266897909
"CompanyAppfolio",0.13869445057989,0.19532875113906,0.710056506126685,0.477677183221266,"",14.8773039437122
"CompanyApple",0.554921938618177,0.13801923005825,4.0206132028412,5.82547778672089e-05,"***",74.1805011760939
"CompanyApplied Materials",0.0352887112002914,0.16873114204262,0.209141660354422,0.834339734183583,"",3.59187469745543
"CompanyArgo Ai",0.878762427380568,0.149879247222858,5.86313611566197,4.61181838433974e-09,"***",140.791788844107
"CompanyArista Networks",0.321384775451332,0.177876022036192,1.80679088599104,0.0708095653347113,".",37.9036098059251
"CompanyArm",0.20625320346174,0.143863626539644,1.43367165434901,0.151681255752617,"",22.9064367952421
"CompanyAruba Networks",0.186654319971714,0.210414503541915,0.887079154857462,0.375046705824709,"",20.5210595800652
"CompanyAsana",0.592109435414296,0.15520769680565,3.81494892070805,0.000136611156472949,"***",80.7797828891575
"CompanyAsml",0.25308640005767,0.156218176564146,1.62008292264088,0.105229866029858,"",28.7994554831165
"CompanyAsurion",-0.0122972452671802,0.210473942844194,-0.0584264498540961,0.953409517011858,"",-1.22219431322629
"CompanyAt&T",0.00945953606574986,0.14944917135719,0.0632960088024921,0.949531411805769,"",0.950441888896858
"CompanyAthenahealth",0.0938412555985554,0.19496314974358,0.481328167512565,0.630288424817852,"",9.83853695488592
"CompanyAtlassian",0.41558265288545,0.142291005499564,2.92065300562321,0.00349679756990719,"**",51.5253350276295
"CompanyAudible",0.329716760283624,0.152535379726275,2.16157563494647,0.0306624525896156,"*",39.0574206835344
"CompanyAutodesk",0.200851280390072,0.143787244858788,1.39686437825084,0.162469498313726,"",22.2442957064219
"CompanyAutomattic",-0.307483383343496,0.194957922986094,-1.57717818611264,0.114769980373969,"",-26.4704914407845
"CompanyAvanade",-0.227322655597056,0.163180157639565,-1.39307780360876,0.163611388978597,"",-20.3336307182768
"CompanyAxon",0.32070098614619,0.168831023310964,1.89953824751451,0.0575077820670932,".",37.8093450246969
"CompanyBain",0.334948290557152,0.155147355258187,2.15890428811855,0.0308691734038161,"*",39.7868100372934
"CompanyBank Of America",0.0371332482840357,0.145047295142014,0.25600786452225,0.797947336595887,"",3.78313008651232
"CompanyBarclays",-0.0341318750196413,0.172953055714016,-0.197347626376025,0.84355747068087,"",-3.35559535941891
"CompanyBcg",0.330185342554025,0.150509023043245,2.19379101583268,0.0282616366743207,"*",39.1225957941925
"CompanyBest Buy",-0.0805222216001606,0.185035811762152,-0.435171012753278,0.663442888469683,"",-7.73655990567955
"CompanyBetter.Com",0.346637264697332,0.185078372043832,1.8729215135696,0.0610934620358879,".",41.4303614464677
"CompanyBird",0.394558305786239,0.178320599339909,2.21263447547159,0.0269338475286758,"*",48.3728691788529
"CompanyBlackrock",0.0888067611074586,0.151756353239677,0.585193036150528,0.558424376090312,"",9.28694510380386
"CompanyBlackstone",0.301976408517399,0.19506710051526,1.54806426978072,0.121622279642185,"",35.2529318161222
"CompanyBlend",0.285917394198895,0.194980222577928,1.46639177255335,0.142556944739803,"",33.0982503835055
"CompanyBlink Health",0.414248035805808,0.185003558965878,2.2391354962107,0.0251577970048886,"*",51.3232416161599
"CompanyBlizzard Entertainment",-0.0514488810013902,0.146679315418886,-0.350757575152726,0.725773836300425,"",-5.01477957853266
"CompanyBloomberg",0.443713114391028,0.13919542337208,3.18769901798387,0.00143625273315853,"**",55.8483315046671
"CompanyBlue Origin",-0.074009645639086,0.177949647159669,-0.415902176938173,0.677485945546035,"",-7.13372637475
"CompanyBluecore",0.152032494030632,0.185063404170984,0.821515710854243,0.411362144709169,"",16.4198065305099
"CompanyBny Mellon",0.0727596855005895,0.15935665315304,0.456583920790015,0.647974982116146,"",7.54720543290248
"CompanyBoeing",-0.140601652775644,0.147094167187638,-0.955861510105215,0.3391534929466,"",-13.116465908032
"CompanyBooking.Com",0.44528105738037,0.308183036998907,1.44485907373919,0.148512777849178,"",56.0928844759072
"CompanyBooz Allen Hamilton",0.0143009077095377,0.14898188111118,0.0959909191834233,0.923528724179632,"",1.44036548986231
"CompanyBosch",0.246151686613477,0.194904365318474,1.26293572856239,0.206626661193021,"",27.909358020076
"CompanyBose",0.0448398421380444,0.184911126492563,0.242494018551382,0.808399820049498,"",4.58603437380019
"CompanyBoston Consulting Group",0.589134612262486,0.17798680550865,3.30999037023479,0.000934603359020596,"***",80.2427941249536
"CompanyBox",0.575183722744849,0.14304775345403,4.02092104808688,5.8178753048155e-05,"***",77.7457056206909
"CompanyBroadcom",0.477660634018666,0.142309886369734,3.35648243564512,0.000790843266200507,"***",61.2298231358027
"CompanyBytedance",0.924157777593094,0.144832873371514,6.38085647325741,1.7987317658847e-10,"***",151.974518058019
"CompanyCa Technologies",0.641341892639194,0.23881157781414,2.68555611293825,0.00724675780286551,"**",89.9027461274932
"CompanyCadence",0.187685774549706,0.162997082392156,1.15146708023983,0.249553577067475,"",20.6454357118518
"CompanyCadence Design Systems",0.202189543778743,0.151581990296179,1.33386257419948,0.182263736335741,"",22.4080002873309
"CompanyCambia Health Solutions",-0.0678356973544239,0.194865809341236,-0.348114928851549,0.727757452091053,"",-6.55860123442813
"CompanyCapgemini",-0.0784440924402695,0.16888638901488,-0.464478475132524,0.642309916560971,"",-7.5446251969446
"CompanyCapital One",0.164897966654031,0.139130353048913,1.18520483158739,0.235950226303431,"",17.9272787424282
"CompanyCarta",0.531036354760033,0.159196248114317,3.3357341083736,0.000852257190331414,"***",70.069391787196
"CompanyCbs Interactive",-0.358852380266972,0.195031183537519,-1.83997437618964,0.0657864656784834,".",-30.152254720341
"CompanyCenturylink",-0.318132759238942,0.19504274033501,-1.63109254254995,0.102886174762972,"",-27.2493801166125
"CompanyCerner",-0.182236854909942,0.145148329562411,-1.25552154447346,0.209303820602668,"",-16.6596078773901
"CompanyCgi",-0.152458850831346,0.185118156939368,-0.823575889864124,0.41019017302979,"",-14.140577633199
"CompanyChan Zuckerberg Initiative",0.408907121953615,0.172809177963363,2.36623498110909,0.0179792909820933,"*",50.5171916566219
"CompanyCharles Schwab",-0.0898485665738662,0.148942028665299,-0.603245218149761,0.546352252841194,"",-8.59304045184339
"CompanyCharter Communications",-0.189885638764327,0.238750308696897,-0.795331490043827,0.426429920469364,"",-17.2946288580333
"CompanyChegg",0.188292287937686,0.17273031009982,1.09009407688131,0.275684534582285,"",20.7186309785204
"CompanyChevron",-0.00297295243535735,0.178027370844924,-0.0166994121254929,0.986676578870562,"",-0.296853758839288
"CompanyChewy",0.248443705959856,0.157622651908221,1.57619290725116,0.114996802766077,"",28.202864976561
"CompanyCiena",0.388785406808804,0.238701955914984,1.62874830798317,0.103381696902618,"",47.5187952073998
"CompanyCimpress",0.0799924135094416,0.172760875462163,0.463023895285603,0.643352160677952,"",8.32788493590217
"CompanyCisco",0.238802722052493,0.138503580993886,1.72416280026027,0.0846935522428481,".",26.9728022536023
"CompanyCitadel",1.1282137949229,0.149435127394196,7.54985668093133,4.5396430306302e-14,"***",209.013195821848
"CompanyCiti",0.0806355051463821,0.151112800775977,0.533611346837013,0.593616248902277,"",8.39757209796577
"CompanyCitrix Systems Inc",0.118539388914628,0.149865379703128,0.790972465751905,0.428969221424344,"",12.5851219286186
"CompanyCloudera",0.504392066166095,0.148827121081652,3.38911390948271,0.000702510871865499,"***",65.5978489035925
"CompanyCloudflare",0.415828308519374,0.154148632739326,2.69758025828594,0.00699026509938246,"**",51.5625626522619
"CompanyCognizant",-0.293505537066435,0.15522857165092,-1.89079583703492,0.0586657091086899,".",-25.4354905833754
"CompanyCohesity",0.544437325539564,0.165558261937599,3.28849384602002,0.00100894820561352,"**",72.3638262241926
"CompanyCoinbase",0.698192282635843,0.145183941002545,4.80901866841873,1.52750892696897e-06,"***",101.011570006521
"CompanyComcast",0.154427345677261,0.142367010665189,1.08471298902549,0.278061565484225,"",16.698948814645
